"seccion","escenario1.x","escenario1.y"
1,5,5
2,5,5
3,5,5
4,5,5
5,5,5
6,5,5
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,5,5
22,5,5
23,5,5
24,5,5
25,5,5
26,5,5
27,5,5
28,5,5
29,5,5
30,5,5
31,5,5
32,5,5
33,5,5
34,5,5
35,19,19
36,19,19
37,19,19
38,19,19
39,19,19
40,19,19
41,19,19
42,19,19
43,19,19
44,23,23
45,23,23
46,23,23
47,23,23
48,23,23
49,23,23
50,23,23
51,23,23
52,23,23
53,23,23
54,9,9
55,9,9
56,9,9
57,9,9
58,9,9
59,9,9
60,9,9
61,9,9
62,9,9
63,9,9
64,9,9
65,9,9
66,9,9
67,9,9
68,19,19
69,19,19
70,19,19
71,19,19
72,9,9
73,9,9
74,9,9
75,9,9
76,9,9
77,9,9
78,9,9
79,9,9
80,9,9
81,9,9
82,9,9
83,9,9
84,9,9
85,9,9
86,9,9
87,9,9
88,11,11
89,11,11
90,11,11
91,11,11
92,11,11
93,11,11
94,11,11
95,11,11
96,11,11
97,11,11
98,11,11
99,11,11
100,11,11
101,11,11
102,11,11
103,11,11
104,11,11
105,11,11
106,11,11
107,11,11
108,11,11
109,11,11
110,11,11
111,11,11
112,11,11
113,9,9
114,9,9
115,9,9
116,9,9
117,9,9
118,9,9
119,9,9
120,9,9
121,9,9
122,9,9
123,9,9
124,9,9
125,9,9
126,9,9
127,9,9
128,9,9
129,9,9
130,10,10
131,10,10
132,10,10
133,10,10
134,10,10
135,10,10
136,10,10
137,10,10
138,10,10
139,10,10
140,10,10
141,10,10
142,10,10
143,10,10
144,23,23
145,23,23
146,23,23
147,23,23
148,23,23
149,23,23
150,23,23
151,23,23
152,23,23
153,23,23
154,23,23
155,23,23
156,23,23
157,23,23
158,23,23
159,23,23
160,23,23
161,23,23
162,23,23
163,12,12
164,12,12
165,12,12
166,12,12
167,12,12
168,12,12
169,12,12
170,12,12
171,12,12
172,12,12
173,12,12
174,12,12
175,12,12
176,12,12
177,12,12
178,12,12
179,12,12
180,12,12
181,12,12
182,12,12
183,12,12
184,12,12
185,12,12
186,20,20
187,20,20
188,20,20
189,20,20
190,20,20
191,20,20
192,20,20
193,20,20
194,20,20
195,20,20
196,20,20
197,13,13
198,13,13
199,13,13
200,13,13
201,13,13
202,13,13
203,13,13
204,13,13
205,13,13
206,13,13
207,13,13
208,13,13
209,13,13
210,13,13
211,13,13
212,13,13
213,13,13
214,13,13
215,13,13
216,13,13
217,13,13
218,13,13
219,13,13
220,13,13
221,13,13
222,13,13
223,13,13
224,13,13
225,13,13
226,13,13
227,13,13
228,13,13
229,13,13
230,13,13
231,13,13
232,13,13
233,13,13
234,4,4
235,4,4
236,4,4
237,4,4
238,4,4
239,6,6
240,6,6
241,6,6
242,6,6
243,6,6
244,6,6
245,6,6
246,6,6
247,6,6
248,6,6
249,6,6
250,6,6
251,6,6
252,6,6
253,6,6
